ticker
HSBA.L
SHEL.L
BP.L
ULVR.L
AZN.L
RIO.L
GLEN.L
DGE.L
BATS.L
LLOY.L
AAPL
MSFT
GOOGL
AMZN
META
NVDA
JPM
BRK-B
V
KO
