instrument_id,symbol,market,asset_class,source,added_on,active,price_eligible,price_source,inactive_on
2B7J1d_EQ,2B7J1d,,EQ,trading212,2025-12-26,True,False,none,
2B7Kd_EQ,2B7Kd,,EQ,trading212,2025-12-26,True,False,none,
2BAEl_EQ,2BAEl,,EQ,trading212,2025-12-26,True,False,none,
2BREl_EQ,2BREl,,EQ,trading212,2025-12-26,True,False,none,
2CARm_EQ,2CARm,,EQ,trading212,2025-12-26,True,False,none,
2CKd_EQ,2CKd,,EQ,trading212,2025-12-26,True,False,none,
2CLd_EQ,2CLd,,EQ,trading212,2025-12-26,True,False,none,
2CPd_EQ,2CPd,,EQ,trading212,2025-12-26,True,False,none,
2FEd_EQ,2FEd,,EQ,trading212,2025-12-26,True,False,none,
2GBd_EQ,2GBd,,EQ,trading212,2025-12-26,True,False,none,
2HPd_EQ,2HPd,,EQ,trading212,2025-12-26,True,False,none,
2HQd_EQ,2HQd,,EQ,trading212,2025-12-26,True,False,none,
2HRAd_EQ,2HRAd,,EQ,trading212,2025-12-26,True,False,none,
2KDd_EQ,2KDd,,EQ,trading212,2025-12-26,True,False,none,
2LBd_EQ,2LBd,,EQ,trading212,2025-12-26,True,False,none,
2M6d_EQ,2M6d,,EQ,trading212,2025-12-26,True,False,none,
2MUEl_EQ,2MUEl,,EQ,trading212,2025-12-26,True,False,none,
2MXp_EQ,2MXp,,EQ,trading212,2025-12-26,True,False,none,
2OIEl_EQ,2OIEl,,EQ,trading212,2025-12-26,True,False,none,
2OIGm_EQ,2OIGm,,EQ,trading212,2025-12-26,True,False,none,
2OYd_EQ,2OYd,,EQ,trading212,2025-12-26,True,False,none,
2PALl_EQ,2PALl,,EQ,trading212,2025-12-26,True,False,none,
2PPd_EQ,2PPd,,EQ,trading212,2025-12-26,True,False,none,
2QKd_EQ,2QKd,,EQ,trading212,2025-12-26,True,False,none,
2QOd_EQ,2QOd,,EQ,trading212,2025-12-26,True,False,none,
2RRd_EQ,2RRd,,EQ,trading212,2025-12-26,True,False,none,
2S3d_EQ,2S3d,,EQ,trading212,2025-12-26,True,False,none,
2STEl_EQ,2STEl,,EQ,trading212,2025-12-26,True,False,none,
2STRm_EQ,2STRm,,EQ,trading212,2025-12-26,True,False,none,
2SVd_EQ,2SVd,,EQ,trading212,2025-12-26,True,False,none,
2TRVm_EQ,2TRVm,,EQ,trading212,2025-12-26,True,False,none,
2TSEl_EQ,2TSEl,,EQ,trading212,2025-12-26,True,False,none,
2VOd_EQ,2VOd,,EQ,trading212,2025-12-26,True,False,none,
2X0d_EQ,2X0d,,EQ,trading212,2025-12-26,True,False,none,
2ZPd_EQ,2ZPd,,EQ,trading212,2025-12-26,True,False,none,
307d_EQ,307d,,EQ,trading212,2025-12-26,True,False,none,
30IAm_EQ,30IAm,,EQ,trading212,2025-12-26,True,False,none,
30IGd_EQ,30IGd,,EQ,trading212,2025-12-26,True,False,none,
31IGd_EQ,31IGd,,EQ,trading212,2025-12-26,True,False,none,
